Time,PickupX,PickupY,DropoffX,DropoffY
8,1733.655,411.671,1997.229,411.671
15,2012.734,303.14,1718.15,504.697
24,1950.716,520.202,1873.194,411.671
25,1826.681,365.158,1888.699,520.202
26,1857.69,411.671,1842.185,520.202
27,1857.69,520.202,1950.716,303.14
30,1842.185,303.14,1826.681,365.158
31,1935.212,473.689,2043.743,442.68
35,2043.743,365.158,2012.734,520.202
37,1718.15,442.68,1795.672,520.202
42,1718.15,427.175,2043.743,442.68
43,2043.743,318.645,1904.203,303.14
50,1795.672,411.671,1904.203,411.671
60,1950.716,303.14,1888.699,303.14
63,1718.15,442.68,2043.743,458.184
65,1826.681,489.193,1826.681,349.653
70,1981.725,411.671,1718.15,380.662
74,1842.185,411.671,1718.15,473.689
75,1795.672,520.202,1733.655,411.671
79,1764.663,411.671,1718.15,318.645
82,2043.743,380.662,1795.672,303.14
83,1780.168,303.14,1935.212,318.645
85,1764.663,520.202,2043.743,365.158
87,1764.663,411.671,1718.15,396.167
89,1718.15,349.653,1981.725,411.671
101,1935.212,349.653,1733.655,303.14
101,1718.15,458.184,1795.672,411.671
111,1904.203,303.14,1826.681,458.184
111,1873.194,411.671,1935.212,396.167
113,1997.229,303.14,2012.734,411.671
115,1780.168,520.202,1888.699,520.202
121,1904.203,303.14,1780.168,411.671
121,1826.681,427.175,1733.655,411.671
124,1919.707,303.14,1919.707,411.671
126,1718.15,442.68,1904.203,520.202
128,1718.15,318.645,1826.681,442.68
130,1842.185,411.671,1764.663,303.14
132,2043.743,365.158,1904.203,520.202
134,1826.681,396.167,1966.221,411.671
134,1935.212,349.653,2028.238,303.14
135,2043.743,473.689,1718.15,380.662
138,1935.212,442.68,1935.212,427.175
138,1935.212,442.68,2028.238,411.671
140,1857.69,303.14,1718.15,396.167
140,1826.681,458.184,2012.734,303.14
141,1811.177,303.14,2043.743,458.184
142,1888.699,411.671,1811.177,520.202
143,1935.212,334.149,1826.681,380.662
144,2028.238,520.202,1718.15,442.68
145,1935.212,365.158,2012.734,411.671
153,1826.681,365.158,1826.681,504.697
160,1718.15,442.68,1826.681,349.653
162,1857.69,303.14,1764.663,411.671
166,1950.716,303.14,1950.716,303.14
166,1935.212,427.175,1904.203,411.671
167,1888.699,520.202,2043.743,504.697
169,1795.672,520.202,1826.681,473.689
169,1981.725,303.14,1718.15,473.689
170,1950.716,520.202,1718.15,427.175
170,1966.221,520.202,1780.168,411.671
171,1826.681,504.697,1733.655,411.671
171,1935.212,489.193,1795.672,411.671
176,1811.177,520.202,1950.716,303.14
177,1826.681,427.175,1888.699,520.202
178,2043.743,458.184,2043.743,427.175
179,1950.716,411.671,2012.734,303.14
182,1966.221,303.14,1904.203,411.671
184,1733.655,520.202,1935.212,427.175
184,2043.743,458.184,2043.743,349.653
187,1795.672,411.671,1873.194,520.202
193,1904.203,520.202,1919.707,520.202
193,1795.672,303.14,1842.185,303.14
203,1811.177,520.202,2028.238,303.14
205,1888.699,303.14,1718.15,489.193
205,1718.15,318.645,1981.725,520.202
205,2043.743,396.167,1795.672,303.14
206,1795.672,303.14,2012.734,411.671
207,1857.69,411.671,1873.194,411.671
207,1935.212,349.653,1888.699,520.202
208,1966.221,520.202,1842.185,411.671
210,1826.681,427.175,2043.743,334.149
212,1795.672,303.14,2043.743,489.193
212,1904.203,303.14,1826.681,318.645
213,2043.743,427.175,1966.221,411.671
214,1935.212,318.645,1935.212,458.184
215,1826.681,458.184,1795.672,303.14
215,1981.725,520.202,2012.734,520.202
219,1718.15,334.149,2043.743,318.645
219,1919.707,303.14,2012.734,520.202
221,1888.699,520.202,1981.725,520.202
222,2012.734,303.14,1997.229,520.202
224,1997.229,303.14,1718.15,504.697
227,1718.15,442.68,1966.221,411.671
227,1718.15,349.653,1857.69,520.202
228,1981.725,411.671,1935.212,334.149
228,1904.203,520.202,1981.725,411.671
228,1904.203,411.671,1826.681,318.645
230,1966.221,520.202,1935.212,334.149
231,2043.743,396.167,1733.655,303.14
231,2043.743,473.689,2028.238,520.202
231,1842.185,520.202,1718.15,442.68
232,1718.15,334.149,1811.177,520.202
233,1764.663,411.671,1718.15,427.175
233,2043.743,334.149,1904.203,520.202
233,1826.681,380.662,1935.212,334.149
234,2043.743,489.193,1733.655,303.14
236,2043.743,489.193,1764.663,520.202
237,1935.212,458.184,1857.69,303.14
238,1857.69,411.671,2043.743,365.158
238,1733.655,411.671,2043.743,318.645
239,1826.681,349.653,1718.15,504.697
241,2028.238,303.14,2043.743,504.697
